benchmark_id,benchmark_name,category,problem_family,implementation_id,library,algorithm,planned_input_status,planned_capability_status,comparison_track,problem_scope,run_records,legacy_run_records,protocol_v3_run_records,protocol_v3_executed_records,protocol_v3_not_run_records,unique_instances,completed,time_limit,error,valid_complete,valid_partial,invalid_certificate,constraint_violation,no_solution,execution_status
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,rust_sa,u-nesting,SA,VALID,SUPPORTED_COMPOSED,COMPOSED,FULL_PROBLEM,6,6,0,0,0,1,6,0,0,0,0,6,0,0,LEGACY_BASELINE_ONLY
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,skjolber_fast_bruteforce,skjolber/3d-bin-container-packing,FastBruteForce,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLANNED
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,skjolber_laff,skjolber/3d-bin-container-packing,LAFF,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,44,44,0,0,0,44,44,0,0,44,0,0,0,0,LEGACY_BASELINE_ONLY
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,skjolber_plain,skjolber/3d-bin-container-packing,Plain,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,44,44,0,0,0,44,44,0,0,44,0,0,0,0,LEGACY_BASELINE_ONLY
B05,Martello-Pisinger-Vigo 3D-BPP,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,exact_cp_sat,OR-Tools,strengthened CP-SAT model,SOURCE_INCOMPLETE,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,1,0,1,0,1,1,0,0,0,0,0,0,0,0,PROTOCOL_V3_STATUS_ONLY
B05,Martello-Pisinger-Vigo 3D-BPP,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,exact_cplex,CPLEX,strengthened MIP model,SOURCE_INCOMPLETE,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,1,0,1,0,1,1,0,0,0,0,0,0,0,0,PROTOCOL_V3_STATUS_ONLY
B05,Martello-Pisinger-Vigo 3D-BPP,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,exact_gurobi,Gurobi,strengthened MIP model,SOURCE_INCOMPLETE,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,1,0,1,0,1,1,0,0,0,0,0,0,0,0,PROTOCOL_V3_STATUS_ONLY
B05,Martello-Pisinger-Vigo 3D-BPP,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,exact_scip,SCIP/PySCIPOpt,strengthened MIP model,SOURCE_INCOMPLETE,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,1,0,1,0,1,1,0,0,0,0,0,0,0,0,PROTOCOL_V3_STATUS_ONLY
B05,Martello-Pisinger-Vigo 3D-BPP,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,go_bp3d,gedex/bp3d,pivot greedy,SOURCE_INCOMPLETE,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,1,0,1,0,1,1,0,0,0,0,0,0,0,0,PROTOCOL_V3_STATUS_ONLY
B05,Martello-Pisinger-Vigo 3D-BPP,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,jerry,jerry800416/3D-bin-packing,pivot/fix-point greedy,SOURCE_INCOMPLETE,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,1,0,1,0,1,1,0,0,0,0,0,0,0,0,PROTOCOL_V3_STATUS_ONLY
B05,Martello-Pisinger-Vigo 3D-BPP,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,packingsolver_fork_box,PackingSolver fork,box portfolio,SOURCE_INCOMPLETE,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,1,0,1,0,1,1,0,0,0,0,0,0,0,0,PROTOCOL_V3_STATUS_ONLY
B05,Martello-Pisinger-Vigo 3D-BPP,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,packingsolver_fork_boxstacks,PackingSolver fork,boxstacks portfolio,SOURCE_INCOMPLETE,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,1,0,1,0,1,1,0,0,0,0,0,0,0,0,PROTOCOL_V3_STATUS_ONLY
